Site,Article,Article Description,Qty,City,Store Name,Full Tally Name,Store Type,TP / ex GST,Stock Value
A018,256479,Amkette EvoFox Explore Gaming Bundle,1,Bangalore,SS Manor,997PP EvoFox Explore Gaming Bundle (422-423-659-595),Store,2500,2500
A018,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,1,Bangalore,SS Manor,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Store,699,699
A018,260085,Amkette Type-C 4 Port USB 3.0 Hub,1,Bangalore,SS Manor,435BK Type-C 4 Port USB 3.0 Hub Pro,Store,1059,1059
A018,260086,Amkette Type-C 6 in 1 Multiport Hub,1,Bangalore,SS Manor,436BK Type-C 6 in 1 Multiport Hub,Store,1699,1699
A020,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,1,New Delhi,Rohini,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Store,699,699
A020,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,1,New Delhi,Rohini,649BK EvoFox Typhoon Laptop Cooling Pad,Store,1399,1399
A021,256480,Amkette EvoFox Prime Gaming Bundle,1,Mumbai,Bandra Mall,998PP EvoFox Prime Gaming Bundle (422-423-658-597),Store,3000,3000
A021,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,Mumbai,Bandra Mall,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Store,1349,1349
A023,250417,Amkette 4 Port USB 3.0 Hub BLK,2,Noida,Ansal Plaza Mall,416PP Super Speed Hub 4 Port USB 3.0,Store,929,1858
A023,250878,Amkette EvoFox Falcon LX35 LED Mouse Pad,1,Noida,Ansal Plaza Mall,596BK Evo Fox Falcon LX35 Medium Speed LED Mouse Pad,Store,999,999
A023,256480,Amkette EvoFox Prime Gaming Bundle,1,Noida,Ansal Plaza Mall,998PP EvoFox Prime Gaming Bundle (422-423-658-597),Store,3000,3000
A024,260085,Amkette Type-C 4 Port USB 3.0 Hub,1,Ghaziabad,Aditya Mall,435BK Type-C 4 Port USB 3.0 Hub Pro,Store,1059,1059
A024,260086,Amkette Type-C 6 in 1 Multiport Hub,1,Ghaziabad,Aditya Mall,436BK Type-C 6 in 1 Multiport Hub,Store,1699,1699
A027,250417,Amkette 4 Port USB 3.0 Hub BLK,1,Mumbai,PMC Lower Parel Mall,416PP Super Speed Hub 4 Port USB 3.0,Store,929,929
A027,256479,Amkette EvoFox Explore Gaming Bundle,1,Mumbai,PMC Lower Parel Mall,997PP EvoFox Explore Gaming Bundle (422-423-659-595),Store,2500,2500
A027,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,Mumbai,PMC Lower Parel Mall,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Store,349,349
A027,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,-4,Mumbai,PMC Lower Parel Mall,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Store,699,-2796
A027,250873,Amkette EvoFox Fireblade Wired GMG KB,1,Mumbai,PMC Lower Parel Mall,422BK Evo Fox Fireblade Gaming Keyboard USB,Store,999,999
A027,256480,Amkette EvoFox Prime Gaming Bundle,1,Mumbai,PMC Lower Parel Mall,998PP EvoFox Prime Gaming Bundle (422-423-658-597),Store,3000,3000
A027,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,1,Mumbai,PMC Lower Parel Mall,649BK EvoFox Typhoon Laptop Cooling Pad,Store,1399,1399
A027,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,Mumbai,PMC Lower Parel Mall,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Store,1349,1349
A027,250421,Amkette Neo Case 14 Multi Pocket GRY,1,Mumbai,PMC Lower Parel Mall,146BK NeoCase Sleeve MP 450 14,Store,779,779
A027,250424,Amkette Primus V2 WL Desktop KB & Mouse,1,Mumbai,PMC Lower Parel Mall,419V2 PRIMUS Wireless Desktop V2,Store,999,999
A027,260086,Amkette Type-C 6 in 1 Multiport Hub,2,Mumbai,PMC Lower Parel Mall,436BK Type-C 6 in 1 Multiport Hub,Store,1699,3398
A027,260090,Amkette Xcite Neo Wired Keyboard & Mouse,1,Mumbai,PMC Lower Parel Mall,400PP Xcite Neo Keyboard & Mouse USB,Store,729,729
A027,260089,Amkette Xcite Neo Wired USB Keyboard,1,Mumbai,PMC Lower Parel Mall,398PP Xcite Neo Keyboard USB,Store,529,529
A028,250421,Amkette Neo Case 14 Multi Pocket GRY,1,Hyderabad,Jubilee,146BK NeoCase Sleeve MP 450 14,Store,779,779
A032,250423,Amkette Ergo Laptop Stand 7 Levels,1,New Delhi,Kamlanagar,650GR Ergo View Laptop Stand-Grey,Store,759,759
A032,256479,Amkette EvoFox Explore Gaming Bundle,1,New Delhi,Kamlanagar,997PP EvoFox Explore Gaming Bundle (422-423-659-595),Store,2500,2500
A032,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,1,New Delhi,Kamlanagar,649BK EvoFox Typhoon Laptop Cooling Pad,Store,1399,1399
A032,250421,Amkette Neo Case 14 Multi Pocket GRY,1,New Delhi,Kamlanagar,146BK NeoCase Sleeve MP 450 14,Store,779,779
A034,256480,Amkette EvoFox Prime Gaming Bundle,1,Chennai,Mount Road,998PP EvoFox Prime Gaming Bundle (422-423-658-597),Store,3000,3000
A034,260089,Amkette Xcite Neo Wired USB Keyboard,1,Chennai,Mount Road,398PP Xcite Neo Keyboard USB,Store,529,529
A035,250423,Amkette Ergo Laptop Stand 7 Levels,2,Mumbai,Ghatkopar Mall,650GR Ergo View Laptop Stand-Grey,Store,759,1518
A035,256479,Amkette EvoFox Explore Gaming Bundle,1,Mumbai,Ghatkopar Mall,997PP EvoFox Explore Gaming Bundle (422-423-659-595),Store,2500,2500
A035,256480,Amkette EvoFox Prime Gaming Bundle,1,Mumbai,Ghatkopar Mall,998PP EvoFox Prime Gaming Bundle (422-423-658-597),Store,3000,3000
A035,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,1,Mumbai,Ghatkopar Mall,649BK EvoFox Typhoon Laptop Cooling Pad,Store,1399,1399
A035,250421,Amkette Neo Case 14 Multi Pocket GRY,1,Mumbai,Ghatkopar Mall,146BK NeoCase Sleeve MP 450 14,Store,779,779
A035,250421,Amkette Neo Case 14 Multi Pocket GRY,1,Mumbai,Ghatkopar Mall,146BK NeoCase Sleeve MP 450 14,Store,779,779
A035,260085,Amkette Type-C 4 Port USB 3.0 Hub,1,Mumbai,Ghatkopar Mall,435BK Type-C 4 Port USB 3.0 Hub Pro,Store,1059,1059
A035,260086,Amkette Type-C 6 in 1 Multiport Hub,1,Mumbai,Ghatkopar Mall,436BK Type-C 6 in 1 Multiport Hub,Store,1699,1699
A035,260086,Amkette Type-C 6 in 1 Multiport Hub,2,Mumbai,Ghatkopar Mall,436BK Type-C 6 in 1 Multiport Hub,Store,1699,3398
A036,204737,AMKETTE Xcite Pro Keyboard & Mouse Combo,1,Rajkot,Crystal Mall,850PP Xcite Pro Keyboard & Mouse USB,Store,729,729
A037,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,1,Chennai,Anna Nagar,649BK EvoFox Typhoon Laptop Cooling Pad,Store,1399,1399
A037,250421,Amkette Neo Case 14 Multi Pocket GRY,1,Chennai,Anna Nagar,146BK NeoCase Sleeve MP 450 14,Store,779,779
A037,260085,Amkette Type-C 4 Port USB 3.0 Hub,1,Chennai,Anna Nagar,435BK Type-C 4 Port USB 3.0 Hub Pro,Store,1059,1059
A038,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,1,Pune,Pimpri,649BK EvoFox Typhoon Laptop Cooling Pad,Store,1399,1399
A039,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,Mumbai,Sion,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Store,349,349
A039,256480,Amkette EvoFox Prime Gaming Bundle,1,Mumbai,Sion,998PP EvoFox Prime Gaming Bundle (422-423-658-597),Store,3000,3000
A039,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,1,Mumbai,Sion,649BK EvoFox Typhoon Laptop Cooling Pad,Store,1399,1399
A039,250420,Amkette Neo Case 13 Multi Pocket BLK/GRY,1,Mumbai,Sion,142BK NeoCase Sleeve MP 450 13-13.3,Store,749,749
A040,256479,Amkette EvoFox Explore Gaming Bundle,1,Chennai,T Nagar,997PP EvoFox Explore Gaming Bundle (422-423-659-595),Store,2500,2500
A041,250417,Amkette 4 Port USB 3.0 Hub BLK,2,Mumbai,Oberoi Mall,416PP Super Speed Hub 4 Port USB 3.0,Store,929,1858
A041,250423,Amkette Ergo Laptop Stand 7 Levels,1,Mumbai,Oberoi Mall,650GR Ergo View Laptop Stand-Grey,Store,759,759
A041,256480,Amkette EvoFox Prime Gaming Bundle,1,Mumbai,Oberoi Mall,998PP EvoFox Prime Gaming Bundle (422-423-658-597),Store,3000,3000
A041,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,1,Mumbai,Oberoi Mall,649BK EvoFox Typhoon Laptop Cooling Pad,Store,1399,1399
A041,260086,Amkette Type-C 6 in 1 Multiport Hub,3,Mumbai,Oberoi Mall,436BK Type-C 6 in 1 Multiport Hub,Store,1699,5097
A041,204736,AMKETTE Xcite Pro Keyboard,1,Mumbai,Oberoi Mall,851PP Xcite Pro Keyboard USB,Store,549,549
A042,250417,Amkette 4 Port USB 3.0 Hub BLK,1,New Delhi,Saket,416PP Super Speed Hub 4 Port USB 3.0,Store,929,929
A042,250423,Amkette Ergo Laptop Stand 7 Levels,1,New Delhi,Saket,650GR Ergo View Laptop Stand-Grey,Store,759,759
A042,256479,Amkette EvoFox Explore Gaming Bundle,1,New Delhi,Saket,997PP EvoFox Explore Gaming Bundle (422-423-659-595),Store,2500,2500
A042,250421,Amkette Neo Case 14 Multi Pocket GRY,2,New Delhi,Saket,146BK NeoCase Sleeve MP 450 14,Store,779,1558
A042,260090,Amkette Xcite Neo Wired Keyboard & Mouse,1,New Delhi,Saket,400PP Xcite Neo Keyboard & Mouse USB,Store,729,729
A044,250417,Amkette 4 Port USB 3.0 Hub BLK,1,New Delhi,Rajouri,416PP Super Speed Hub 4 Port USB 3.0,Store,929,929
A044,250423,Amkette Ergo Laptop Stand 7 Levels,1,New Delhi,Rajouri,650GR Ergo View Laptop Stand-Grey,Store,759,759
A044,256479,Amkette EvoFox Explore Gaming Bundle,2,New Delhi,Rajouri,997PP EvoFox Explore Gaming Bundle (422-423-659-595),Store,2500,5000
A044,256480,Amkette EvoFox Prime Gaming Bundle,1,New Delhi,Rajouri,998PP EvoFox Prime Gaming Bundle (422-423-658-597),Store,3000,3000
A044,250421,Amkette Neo Case 14 Multi Pocket GRY,1,New Delhi,Rajouri,146BK NeoCase Sleeve MP 450 14,Store,779,779
A044,260086,Amkette Type-C 6 in 1 Multiport Hub,1,New Delhi,Rajouri,436BK Type-C 6 in 1 Multiport Hub,Store,1699,1699
A045,256479,Amkette EvoFox Explore Gaming Bundle,1,Bangalore,Indira Nagar,997PP EvoFox Explore Gaming Bundle (422-423-659-595),Store,2500,2500
A045,250878,Amkette EvoFox Falcon LX35 LED Mouse Pad,1,Bangalore,Indira Nagar,596BK Evo Fox Falcon LX35 Medium Speed LED Mouse Pad,Store,999,999
A045,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,Bangalore,Indira Nagar,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Store,349,349
A045,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,1,Bangalore,Indira Nagar,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Store,699,699
A045,256480,Amkette EvoFox Prime Gaming Bundle,1,Bangalore,Indira Nagar,998PP EvoFox Prime Gaming Bundle (422-423-658-597),Store,3000,3000
A045,250421,Amkette Neo Case 14 Multi Pocket GRY,1,Bangalore,Indira Nagar,146BK NeoCase Sleeve MP 450 14,Store,779,779
A045,260086,Amkette Type-C 6 in 1 Multiport Hub,1,Bangalore,Indira Nagar,436BK Type-C 6 in 1 Multiport Hub,Store,1699,1699
A045,260086,Amkette Type-C 6 in 1 Multiport Hub,2,Bangalore,Indira Nagar,436BK Type-C 6 in 1 Multiport Hub,Store,1699,3398
A048,256480,Amkette EvoFox Prime Gaming Bundle,1,New Delhi,SouthEx,998PP EvoFox Prime Gaming Bundle (422-423-658-597),Store,3000,3000
A048,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,2,New Delhi,SouthEx,649BK EvoFox Typhoon Laptop Cooling Pad,Store,1399,2798
A048,250421,Amkette Neo Case 14 Multi Pocket GRY,1,New Delhi,SouthEx,146BK NeoCase Sleeve MP 450 14,Store,779,779
A048,260086,Amkette Type-C 6 in 1 Multiport Hub,1,New Delhi,SouthEx,436BK Type-C 6 in 1 Multiport Hub,Store,1699,1699
A049,250417,Amkette 4 Port USB 3.0 Hub BLK,1,Pune,Kothrud,416PP Super Speed Hub 4 Port USB 3.0,Store,929,929
A049,250423,Amkette Ergo Laptop Stand 7 Levels,1,Pune,Kothrud,650GR Ergo View Laptop Stand-Grey,Store,759,759
A049,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,1,Pune,Kothrud,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Store,699,699
A049,256480,Amkette EvoFox Prime Gaming Bundle,1,Pune,Kothrud,998PP EvoFox Prime Gaming Bundle (422-423-658-597),Store,3000,3000
A049,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,Pune,Kothrud,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Store,1349,1349
A050,250417,Amkette 4 Port USB 3.0 Hub BLK,4,Gurugram,Dlf Mega Mall,416PP Super Speed Hub 4 Port USB 3.0,Store,929,3716
A050,256479,Amkette EvoFox Explore Gaming Bundle,2,Gurugram,Dlf Mega Mall,997PP EvoFox Explore Gaming Bundle (422-423-659-595),Store,2500,5000
A050,250878,Amkette EvoFox Falcon LX35 LED Mouse Pad,1,Gurugram,Dlf Mega Mall,596BK Evo Fox Falcon LX35 Medium Speed LED Mouse Pad,Store,999,999
A050,256480,Amkette EvoFox Prime Gaming Bundle,1,Gurugram,Dlf Mega Mall,998PP EvoFox Prime Gaming Bundle (422-423-658-597),Store,3000,3000
